"Symbol","baseMean","log2FoldChange","lfcSE","pvalue","qvalue","Status"
"SPI1",1348.61062253426,0.560196368469197,0.184423284006084,0.000922835334915163,0.00574073224923353,"Upregulated"
"SPICE1",422.473532174435,-0.564692876326285,0.214826645267892,0.00320365498744662,0.0155971970982003,"Downregulated"
"SPIN1",1240.98777182144,-0.415854532769743,0.115274121634048,0.000182213863681817,0.00154981404035136,"Downregulated"
"SPIN3",64.6909763176523,-0.885471625606715,0.462016895442386,0.00738882029227776,0.0300915948742859,"Downregulated"
"SPINT1",240.430966117669,-1.04325369809914,0.355537308982881,0.000423021399010296,0.00306744288189119,"Downregulated"
"SPINT2",894.494122699341,0.399971134742121,0.148203173732834,0.00427931576782768,0.0194662229491853,"Upregulated"
"SPOP",459.145559250638,-0.643698637206066,0.141532711050945,1.83223581378759e-06,3.44182782451669e-05,"Downregulated"
"SPP1",22.6658203842954,1.48483232384451,0.838363431829331,0.00337053081642939,0.0161568330144415,"Upregulated"
"SPPL2B",574.791955538203,-1.01737197508965,0.218181909263566,4.60524465956053e-07,1.1053233079812e-05,"Downregulated"
"SPRED3",19.3081223671736,1.03557836707643,0.89752198555595,0.0124554806905022,0.0450997447218422,"Upregulated"
"SPRTN",319.891365150126,0.818272974016849,0.225767673671151,5.90297670549633e-05,0.000607836369921638,"Upregulated"
"SPRY1",1386.74813988415,1.3738226928505,0.267875484847853,2.76949557556464e-08,1.03054869604306e-06,"Upregulated"
"SPRY2",470.935119951232,1.573353080802,0.227325372946518,4.01248128268702e-13,7.62951024340256e-11,"Upregulated"
"SPRY4",93.2166826882946,2.19525167525579,0.579860359595339,7.66852902914727e-06,0.000113033193174675,"Upregulated"
"SPTB",163.208809057189,-1.37910357569359,0.761144182340587,0.00382275457564413,0.0178544757240715,"Downregulated"
"SPTLC3",154.803910683412,-4.01718404312829,0.514664957367061,3.11684773361612e-16,1.2404329131482e-13,"Downregulated"
"SPTY2D1",1179.60245442532,0.699875589235021,0.172826190106169,1.44540100582921e-05,0.000194001156178473,"Upregulated"
"SQLE",453.962143846872,0.90060617483749,0.181763948068659,1.3246218999615e-07,3.95606537068782e-06,"Upregulated"
"SQSTM1",1896.61299908792,0.726850608440609,0.215720968393067,0.000195320994802587,0.00164251999216544,"Upregulated"
"SRA1",206.803837956322,0.566447218564336,0.193035564522808,0.00124927166737423,0.00733406039237569,"Upregulated"
"SREBF1",1011.91620029724,0.84384163604073,0.214670154739237,1.70706535730058e-05,0.000221478464438853,"Upregulated"
"SREBF2",2521.49082438979,0.676000249546232,0.155737423340686,4.52507898119592e-06,7.33087387255364e-05,"Upregulated"
"SRF",1086.1983833811,0.648655427613313,0.122755184503505,4.16695484382418e-08,1.4552877192319e-06,"Upregulated"
"SRFBP1",439.698324084311,0.332129442420932,0.105838374142704,0.00120948619586086,0.00715282305095451,"Upregulated"
"SRGAP3",185.069230308511,-1.62619447606764,0.53734765750675,0.000161183025224158,0.00140158796273426,"Downregulated"
"SRM",716.581187031146,0.735894122216326,0.182355957719659,1.4092467695344e-05,0.000189594653828948,"Upregulated"
"SRP14",2007.18531612883,0.612915260241884,0.166525697663173,8.27585333560627e-05,0.000803772293599489,"Upregulated"
"SRP14-AS1",32.8093836624057,-0.893380425559833,0.552826712423325,0.0121516641552211,0.0442638204955937,"Downregulated"
"SRP72",2240.48312338395,0.346594184359959,0.139108029778217,0.00913126593415928,0.035579087871418,"Upregulated"
"SRPK2",674.642199629263,-0.36566812259417,0.10649539165187,0.000389682587875389,0.00286576627688506,"Downregulated"
"SRPRA",1546.79256283585,0.350001490337523,0.139430767604246,0.00822756329656659,0.0327209599568078,"Upregulated"
