"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-75893","TNF signaling","21/2457","57/11146",0.368421052631579,1.67131503973609,2.70193768790322,0.00773576744531031,0.0390507491229607,0.0285784930924925,"BAG4/BIRC3/CYLD/IKBKB/MAPKAPK2/RNF31/RPS27A/SMPD2/SPATA2/SPPL2B/TAB1/TAX1BP1/TNF/TNFAIP3/TRAF1/UBA52/UBB/UBC/UBE2D1/UBE2D2/UBE2D3",21
"R-HSA-9648002","RAS processing","12/2457","27/11146",0.444444444444444,2.01618957174513,2.81113347532845,0.00783303711560015,0.039415442354857,0.0288453863850081,"ABHD17A/ABHD17B/CALM1/KRAS/LYPLA1/NRAS/PRKCQ/PRKG2/RPS27A/UBA52/UBB/UBC",12
"R-HSA-5099900","WNT5A-dependent internalization of FZD4","8/2457","15/11146",0.533333333333333,2.41942748609415,2.92515891482665,0.00788565697145205,0.0394282848572602,0.0288547849080701,"AP2A1/ARRB2/CLTA/CLTB/DVL2/FZD4/PRKCA/PRKCG",8
"R-HSA-9735871","SARS-CoV-1 targets host intracellular signalling and regulatory pathways","8/2457","15/11146",0.533333333333333,2.41942748609415,2.92515891482665,0.00788565697145205,0.0394282848572602,0.0288547849080701,"SMAD3/SMAD4/UBE2I/YWHAE/YWHAG/YWHAH/YWHAQ/YWHAZ",8
"R-HSA-9842860","Regulation of endogenous retroelements","44/2457","142/11146",0.309859154929577,1.40565329297724,2.58691168890964,0.0080678052953782,0.0402113713298122,0.029427870747632,"ACTB/ARID1B/ATF7IP/BCL7B/C19orf84/CHD4/DPF1/DPF2/EHMT1/GATAD2A/HDAC1/MORC2/MPHOSPH8/MTA1/MTA2/PIWIL4/RBM7/SETDB1/SMARCA2/SMARCB1/SMARCC1/SMARCC2/SMARCD1/SMARCD3/SS18L1/TRIM28/UBE2I/ZNF224/ZNF273/ZNF28/ZNF30/ZNF317/ZNF320/ZNF33A/ZNF354A/ZNF382/ZNF418/ZNF425/ZNF519/ZNF610/ZNF669/ZNF680/ZNF778/ZNF816",44
"R-HSA-210993","Tie2 Signaling","9/2457","18/11146",0.5,2.26821326821327,2.86337153056593,0.00831695469457707,0.0413224089714791,0.0302409609515586,"DOK2/GRB2/KRAS/NRAS/PIK3CA/PIK3CB/PIK3R1/SOS1/TEK",9
"R-HSA-416572","Sema4D induced cell migration and growth-cone collapse","10/2457","21/11146",0.476190476190476,2.16020311258406,2.82977157525891,0.00837057523328723,0.0413280752113711,0.0302451076734846,"ARHGEF11/ARHGEF12/ERBB2/MYH9/MYL12A/MYL6/RHOA/RHOB/RND1/ROCK2",10
"R-HSA-5218921","VEGFR2 mediated cell proliferation","10/2457","21/11146",0.476190476190476,2.16020311258406,2.82977157525891,0.00837057523328723,0.0413280752113711,0.0302451076734846,"CALM1/ITPR1/ITPR3/KRAS/NRAS/PRKCA/PRKCZ/RASA1/SPHK1/VEGFA",10
"R-HSA-9024446","NR1H2 and NR1H3-mediated signaling","18/2457","47/11146",0.382978723404255,1.73735484373782,2.69365057005297,0.00841561779837869,0.0414206188513951,0.0303128338461338,"ABCA1/AGO3/ARL4C/EEPD1/FASN/HDAC3/KDM3A/KDM4A/MOV10/MYLIP/NCOA1/RXRB/SCD/SREBF1/TBL1X/TBL1XR1/TNRC6B/TNRC6C",18
"R-HSA-8876198","RAB GEFs exchange GTP for GDP on RABs","30/2457","90/11146",0.333333333333333,1.51214217880885,2.59400315822795,0.00884574718789714,0.0434020305948224,0.0317628895581157,"AKT3/ALS2/ALS2CL/CHM/DENND1C/DENND2D/DENND3/DENND4A/DENND4C/DENND5A/DENND6B/HPS4/MON1B/RAB10/RAB1A/RAB1B/RAB35/RAB38/RAB39B/RAB3GAP2/RAB5A/RAB5C/RAB7A/RAB8B/RAB9B/RIN3/TRAPPC11/TRAPPC12/TRAPPC8/YWHAE",30
"R-HSA-69239","Synthesis of DNA","38/2457","120/11146",0.316666666666667,1.4365350698684,2.55657468525169,0.00904609524684632,0.0442472050117483,0.0323814131915551,"ANAPC1/ANAPC15/ANAPC4/CDC27/CDT1/CUL1/ORC2/ORC3/ORC5/PSMA1/PSMA2/PSMB1/PSMB2/PSMB3/PSMB4/PSMB6/PSMB7/PSMC1/PSMC3/PSMC4/PSMC5/PSMD13/PSMD3/PSMD4/PSMD6/PSMD7/PSMD8/PSMD9/PSME1/PSME2/PSME3/RPS27A/UBA52/UBB/UBC/UBE2D1/UBE2E1/UBE2S",38
"R-HSA-187687","Signalling to ERKs","14/2457","34/11146",0.411764705882353,1.86794033852857,2.69519958664682,0.00941294855256367,0.0458990525395907,0.0335902840640613,"CRKL/FRS2/GRB2/KIDINS220/KRAS/MAP2K2/MAPKAPK2/MAPKAPK3/NRAS/RALA/RAP1A/RAPGEF1/RIT1/SOS1",14
"R-HSA-2173793","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer","19/2457","51/11146",0.372549019607843,1.69004125866871,2.62635972241124,0.00963640605951509,0.0466995062884193,0.0341760797900211,"CCNK/FURIN/HDAC1/JUNB/MEN1/MYC/RBL1/RPS27A/SERPINE1/SMAD2/SMAD3/SMAD4/STAT1/UBA52/UBB/UBC/UBE2D1/UBE2D3/YBX1",19
"R-HSA-5620920","Cargo trafficking to the periciliary membrane","19/2457","51/11146",0.372549019607843,1.69004125866871,2.62635972241124,0.00963640605951509,0.0466995062884193,0.0341760797900211,"ARF4/ARL13B/ARL6/BBS10/BBS12/BBS2/BBS7/BBS9/CCT8/EXOC2/EXOC5/EXOC6/GBF1/NPHP3/PKD2/RAB11FIP3/RP2/SMO/TCP1",19
