"Symbol","baseMean","log2FoldChange","lfcSE","pvalue","qvalue","Status"
"CLK4",541.927693935879,-0.294017078286809,0.227523571083069,0.134809947769169,0.265691884852446,"Not Significant"
"CLMN",46.0000863017962,-2.01030961390837,0.529085891793791,8.91150083803193e-06,0.000129239418509526,"Downregulated"
"CLN3",49.0306988168385,0.196680778765992,0.329570401346526,0.397654280019083,0.56300634516146,"Not Significant"
"CLN5",166.80576147048,-0.126592762590841,0.200302073770098,0.48021416475709,0.638333462908814,"Not Significant"
"CLN6",241.986150614879,-0.0943201813099803,0.178676527277184,0.565017669404225,0.709910801185378,"Not Significant"
"CLN8",209.38690566049,-0.379438951215711,0.247888607520436,0.0694440165196654,0.163218713734519,"Not Significant"
"CLNK",48.1767327869879,0.068522375982143,0.388001202389469,0.731101151506875,0.833574315748237,"Not Significant"
"CLNS1A",1882.24578707864,-0.0734775540573599,0.130334869319404,0.562524996092615,0.707674061466803,"Not Significant"
"CLNS1AP1",61.9742849905048,0.0198996659009362,0.218597426676246,0.918028407514063,0.951432589204509,"Not Significant"
"CLOCK",382.875811458689,-0.53648768247412,0.194470352903718,0.00236929686286631,0.0123015100771333,"Downregulated"
"CLP1",118.472315177332,0.761401231797146,0.20427050597899,4.50504258214034e-05,0.000487017016476107,"Upregulated"
"CLPB",437.391367382095,0.0439156136195225,0.180590409457252,0.794385865417909,0.875640922054537,"Not Significant"
"CLPP",525.939922735221,0.493865026298876,0.157180675662191,0.000733494772098078,0.00476490754014356,"Upregulated"
"CLPTM1",794.795169664291,0.00455087856286988,0.136092844432318,0.942971033637722,0.966175505846147,"Not Significant"
"CLPTM1L",762.969418990634,0.00038834970267324,0.156842073862253,0.989029073910248,0.993643369827664,"Not Significant"
"CLPX",887.30725297933,-0.130198082241209,0.127811807015041,0.283216206419373,0.448310263807018,"Not Significant"
"CLSPN",1067.92495528009,0.123774498514321,0.342504590446805,0.587786467097753,0.728028718884303,"Not Significant"
"CLSTN1",3179.60251196478,-0.00535181600768492,0.152803334485069,0.973179091631112,0.98334989342721,"Not Significant"
"CLSTN3",669.761755496666,0.161784293260579,0.208641322026282,0.381694920035037,0.547476755222495,"Not Significant"
"CLTA",1020.81215046125,0.322807371424857,0.115091975174793,0.00361245305100021,0.0170772156244747,"Upregulated"
"CLTB",550.243628178272,0.564114237866853,0.164948097530188,0.000251480965568861,0.00202236549049808,"Upregulated"
"CLTC",3250.17707186364,0.100879036770366,0.129451221465817,0.418370858634794,0.581512386599841,"Not Significant"
"CLTCL1",42.8220135774972,-1.4636474490723,0.690494184649009,0.00186039480355784,0.010161805385664,"Downregulated"
"CLU",347.646398015976,-2.58797508661491,0.650658392222825,3.61012820097545e-06,6.06281883251157e-05,"Downregulated"
"CLUAP1",169.813841770013,-0.989111089046838,0.268015987651827,3.33629838256373e-05,0.000380120334359608,"Downregulated"
"CLUH",1065.67080474257,0.117999450136956,0.19473248509902,0.474793395799585,0.633637946059291,"Not Significant"
"CLUHP3",287.977645444931,0.324734715968129,0.262285845173703,0.132423781019752,0.261984758912256,"Not Significant"
"CLYBL",69.1355827110747,-0.505645719178248,0.274351631237574,0.0259898197695263,0.0789229202500644,"Not Significant"
"CMAHP",372.209601872964,-0.329075324782348,0.297166382401514,0.15387214689011,0.291445937988981,"Not Significant"
"CMAS",210.435007618247,-0.403885630000108,0.223250590952705,0.0380351490859924,0.10501702263772,"Not Significant"
"CMB9-22P13.1",16.1575717191619,0.117183113525929,0.397196988062492,0.560314612542632,0.706087184421359,"Not Significant"
"CMB9-55A18.1",28.1186671961644,0.981472678921169,0.491363920851591,0.00487452248727181,0.0215828469145362,"Upregulated"
"CMBL",292.292615941563,-0.540768376668171,0.289732122687121,0.021392767672461,0.0679841101539138,"Not Significant"
"CMC1",89.9129879106414,-0.600957301380711,0.342496162681793,0.0220036121659511,0.0694202002996255,"Not Significant"
"CMC2",260.399943879532,0.151221120033869,0.170555335341092,0.333273883870627,0.500290874971759,"Not Significant"
"CMIP",1428.24223766146,-0.0315585963405995,0.132452674861963,0.820938147974042,0.893059215960828,"Not Significant"
"CMPK1",1470.600325872,0.137236565048294,0.146531448818409,0.328384487956146,0.495559412909483,"Not Significant"
"CMPK2",711.799236299741,2.30983839425794,0.551077676021447,1.40520993786265e-06,2.7640640996142e-05,"Upregulated"
"CMSS1",506.926764741998,0.0580797455876897,0.18222674265691,0.728911060867212,0.832089586059675,"Not Significant"
"CMTM1",58.4640959515,-0.356782280945587,0.357644363132622,0.15414901959764,0.291793276963136,"Not Significant"
"CMTM3",607.566430710582,1.14044294072689,0.216161775452131,1.66251637427867e-08,6.64734642827825e-07,"Upregulated"
"CMTM4",129.094563106496,-0.297377698627131,0.24592859338512,0.150542762567764,0.287185610805718,"Not Significant"
"CMTM6",1132.32996795012,0.882730778275615,0.158285236201517,5.13745479392010e-09,2.54096138405649e-07,"Upregulated"
"CMTM7",350.912342564578,0.235704044020098,0.228359571905805,0.230926394572754,0.387701696293882,"Not Significant"
"CMTM8",48.1371016742406,-0.925389117352519,0.494740741065736,0.00739059547062099,0.0300916631664851,"Downregulated"
"CMTR1",960.171414089152,0.401317241860301,0.168874133026155,0.0103223348005594,0.0390550774799851,"Upregulated"
"CMTR2",256.583842932548,-0.765848996897193,0.216432073073282,9.91881803209357e-05,0.000932129231099491,"Downregulated"
"CMYA5",28.5522365985597,0.234648500995787,0.430119698184185,0.287000961172309,0.452167874106216,"Not Significant"
"CNBD2",49.999545615714,0.160065886149995,0.248783724034286,0.440328513716186,0.602056715821755,"Not Significant"
"CNBP",3753.88992847195,0.126750310605192,0.148256095753661,0.371905449135053,0.538016360680699,"Not Significant"
"CNDP2",1022.29058376757,0.134577182525255,0.161171052889203,0.375023010940896,0.540990372269371,"Not Significant"
"CNEP1R1",87.5767501643416,0.261213094362358,0.230182335642099,0.186395493157699,0.333624733229547,"Not Significant"
"CNIH1",519.191541735552,0.179053599817357,0.16677593589355,0.248642949019365,0.409373367959245,"Not Significant"
"CNIH2",53.6472740515781,0.100761877045303,0.317346330400634,0.655638783285071,0.779596060197152,"Not Significant"
"CNIH3",36.5365864969589,-0.00439732789597627,0.298376362453672,0.98217095347676,0.988853400193631,"Not Significant"
"CNIH4",117.325285409391,0.0178743191295746,0.188997670778743,0.914911058768571,0.949995324841124,"Not Significant"
"CNKSR1",54.477570424966,-1.16983913508999,0.595910243425449,0.00393878419364662,0.0182519398607838,"Downregulated"
"CNKSR2",54.3122681264217,-0.668959559612226,0.642879780714792,0.0385625679733915,0.106079605486039,"Not Significant"
"CNKSR3",452.459998637741,0.301051105389193,0.298334900474168,0.191892990763373,0.340932802214867,"Not Significant"
"CNMD",15.1645196481346,-0.219696017267714,0.449352939324773,0.276750733149644,0.4417943373498,"Not Significant"
"CNN2",2001.92755757849,0.741436386384627,0.15069146827333,2.3785213083288e-07,6.42013172703956e-06,"Upregulated"
"CNN2P9",20.8286001337691,0.448276936364279,0.489989466056898,0.0990237536639129,0.211771244245256,"Not Significant"
"CNN3",515.978315294959,1.78844273208415,0.351774659859411,2.6387229295641e-08,9.91553176110283e-07,"Upregulated"
"CNNM1",62.9343296294435,-0.80755786005609,0.391615637714988,0.00649154468029596,0.0271347836135576,"Downregulated"
"CNNM2",468.856929948811,-0.71139763877829,0.221057008056885,0.000360154562838796,0.00269847856123482,"Downregulated"
"CNNM3",428.213996043699,-0.704430723519769,0.212107001867604,0.000231558597644397,0.00188429019566741,"Downregulated"
"CNNM4",336.065358391312,-0.26921724743052,0.178005458214146,0.0979053428763954,0.21014099242992,"Not Significant"
"CNOT1",4038.5782692232,-0.586542187564045,0.153651757847229,5.0720893185431e-05,0.000536788277725591,"Downregulated"
"CNOT10",612.841723131922,-0.110268781595336,0.0878608410683411,0.200002887632093,0.351076973643246,"Not Significant"
"CNOT11",467.315294375664,0.329047206594277,0.123325611411655,0.00538906021875477,0.0233712588757097,"Upregulated"
"CNOT2",1563.82752614591,-0.0138990585222675,0.111107214028526,0.896107372574663,0.938212631806069,"Not Significant"
"CNOT3",1263.35882876686,-0.115383748907501,0.103725391001117,0.251929774325085,0.413397915872807,"Not Significant"
"CNOT4",957.169320831225,0.0944039347046575,0.163323766554455,0.540680805576319,0.690240255563413,"Not Significant"
"CNOT6",795.763377891378,-0.720795226588483,0.122487595543727,1.12964779543022e-09,7.08119513670233e-08,"Downregulated"
"CNOT6L",1445.51316986563,-0.148554093188634,0.165402383384218,0.328858749975475,0.495945039942355,"Not Significant"
"CNOT6LP1",87.9487876349875,-0.222470628477722,0.221574907481445,0.248083920227872,0.408649545371024,"Not Significant"
"CNOT7",894.971879118664,0.0954820308496032,0.109733394038895,0.371923891009915,0.538016360680699,"Not Significant"
"CNOT7P1",42.9339136613012,0.256577774654206,0.24721060182657,0.216663861361382,0.371519905759251,"Not Significant"
"CNOT8",1273.62815388401,0.213577415892235,0.153211640830859,0.140554794293199,0.273175944888077,"Not Significant"
"CNOT9",804.848208854001,0.1545366962412,0.115224173474952,0.164869263604601,0.306308512437904,"Not Significant"
"CNP",682.015915940329,0.579650329557012,0.225177723597886,0.00379930411505145,0.017788643316245,"Upregulated"
"CNPPD1",364.225653419915,-0.00149388140678671,0.142236816223792,0.98986967663795,0.993818702041962,"Not Significant"
"CNPY2",75.7592059576822,0.430922319486327,0.268607874732939,0.0511194371747645,0.130841598619764,"Not Significant"
"CNPY3",1419.17316941461,0.19050584483797,0.143232546357955,0.159571083042886,0.29912804733409,"Not Significant"
"CNPY4",100.58007935724,-0.404256907931056,0.305149826348768,0.088773774389476,0.195576257789587,"Not Significant"
